UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 10:12 ?        00:00:04 /sbin/init splash
root           2       0  0 10:12 ?        00:00:00 [kthreadd]
root           3       2  0 10:12 ?        00:00:00 [rcu_gp]
root           4       2  0 10:12 ?        00:00:00 [rcu_par_gp]
root           6       2  0 10:12 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 10:12 ?        00:00:02 [kworker/u8:0-i915]
root           9       2  0 10:12 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 10:12 ?        00:00:00 [ksoftirqd/0]
root          11       2  0 10:12 ?        00:00:04 [rcu_sched]
root          12       2  0 10:12 ?        00:00:00 [migration/0]
root          13       2  0 10:12 ?        00:00:00 [idle_inject/0]
root          14       2  0 10:12 ?        00:00:00 [cpuhp/0]
root          15       2  0 10:12 ?        00:00:00 [cpuhp/1]
root          16       2  0 10:12 ?        00:00:00 [idle_inject/1]
root          17       2  0 10:12 ?        00:00:00 [migration/1]
root          18       2  0 10:12 ?        00:00:00 [ksoftirqd/1]
root          20       2  0 10:12 ?        00:00:00 [kworker/1:0H]
root          21       2  0 10:12 ?        00:00:00 [cpuhp/2]
root          22       2  0 10:12 ?        00:00:00 [idle_inject/2]
root          23       2  0 10:12 ?        00:00:00 [migration/2]
root          24       2  0 10:12 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 10:12 ?        00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 10:12 ?        00:00:00 [cpuhp/3]
root          28       2  0 10:12 ?        00:00:00 [idle_inject/3]
root          29       2  0 10:12 ?        00:00:00 [migration/3]
root          30       2  0 10:12 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 10:12 ?        00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 10:12 ?        00:00:00 [kdevtmpfs]
root          34       2  0 10:12 ?        00:00:00 [netns]
root          35       2  0 10:12 ?        00:00:00 [rcu_tasks_kthre]
root          36       2  0 10:12 ?        00:00:00 [kauditd]
root          37       2  0 10:12 ?        00:00:00 [khungtaskd]
root          38       2  0 10:12 ?        00:00:00 [oom_reaper]
root          39       2  0 10:12 ?        00:00:00 [writeback]
root          40       2  0 10:12 ?        00:00:00 [kcompactd0]
root          41       2  0 10:12 ?        00:00:00 [ksmd]
root          42       2  0 10:12 ?        00:00:00 [khugepaged]
root          89       2  0 10:12 ?        00:00:00 [kintegrityd]
root          90       2  0 10:12 ?        00:00:00 [kblockd]
root          91       2  0 10:12 ?        00:00:00 [blkcg_punt_bio]
root          92       2  0 10:12 ?        00:00:00 [tpm_dev_wq]
root          93       2  0 10:12 ?        00:00:00 [ata_sff]
root          94       2  0 10:12 ?        00:00:00 [md]
root          95       2  0 10:12 ?        00:00:00 [edac-poller]
root          96       2  0 10:12 ?        00:00:00 [devfreq_wq]
root          98       2  0 10:12 ?        00:00:00 [watchdogd]
root         101       2  0 10:12 ?        00:00:00 [kswapd0]
root         102       2  0 10:12 ?        00:00:00 [ecryptfs-kthrea]
root         104       2  0 10:12 ?        00:00:00 [kthrotld]
root         105       2  0 10:12 ?        00:00:00 [acpi_thermal_pm]
root         106       2  0 10:12 ?        00:00:00 [vfio-irqfd-clea]
root         108       2  0 10:12 ?        00:00:00 [ipv6_addrconf]
root         118       2  0 10:12 ?        00:00:00 [kstrp]
root         121       2  0 10:12 ?        00:00:00 [kworker/u9:0]
root         136       2  0 10:12 ?        00:00:00 [charger_manager]
root         189       2  0 10:12 ?        00:00:00 [scsi_eh_0]
root         190       2  0 10:12 ?        00:00:00 [scsi_tmf_0]
root         191       2  0 10:12 ?        00:00:00 [scsi_eh_1]
root         192       2  0 10:12 ?        00:00:00 [scsi_tmf_1]
root         193       2  0 10:12 ?        00:00:00 [scsi_eh_2]
root         194       2  0 10:12 ?        00:00:00 [scsi_tmf_2]
root         195       2  0 10:12 ?        00:00:00 [scsi_eh_3]
root         196       2  0 10:12 ?        00:00:00 [scsi_tmf_3]
root         200       2  0 10:12 ?        00:00:00 [kworker/0:1H-events_highpri]
root         219       2  0 10:12 ?        00:00:00 [kworker/3:1H-events_highpri]
root         221       2  0 10:12 ?        00:00:00 [kworker/2:1H-kblockd]
root         222       2  0 10:12 ?        00:00:00 [jbd2/sda2-8]
root         223       2  0 10:12 ?        00:00:00 [ext4-rsv-conver]
root         244       2  0 10:12 ?        00:00:00 [kworker/1:1H-kblockd]
root         266       1  0 10:12 ?        00:00:00 /lib/systemd/systemd-journald
root         294       1  0 10:12 ?        00:00:01 /lib/systemd/systemd-udevd
root         300       2  0 10:12 ?        00:00:00 [loop0]
root         301       2  0 10:12 ?        00:00:00 [loop1]
root         320       2  0 10:12 ?        00:00:00 [loop2]
root         326       2  0 10:12 ?        00:00:00 [loop3]
root         328       2  0 10:12 ?        00:00:00 [loop4]
root         344       2  0 10:12 ?        00:00:00 [loop5]
root         358       2  0 10:12 ?        00:00:00 [loop6]
root         359       2  0 10:12 ?        00:00:00 [loop7]
root         360       2  0 10:12 ?        00:00:00 [loop8]
root         361       2  0 10:12 ?        00:00:00 [loop9]
root         363       2  0 10:12 ?        00:00:00 [loop10]
root         364       2  0 10:12 ?        00:00:00 [loop11]
root         365       2  0 10:12 ?        00:00:00 [loop12]
root         366       2  0 10:12 ?        00:00:00 [loop13]
root         367       2  0 10:12 ?        00:00:00 [loop14]
root         368       2  0 10:12 ?        00:00:00 [loop15]
root         370       2  0 10:12 ?        00:00:00 [irq/126-mei_me]
root         377       2  0 10:12 ?        00:00:00 [loop16]
root         385       2  0 10:12 ?        00:00:00 [loop17]
root         390       2  0 10:12 ?        00:00:00 [led_workqueue]
root         392       2  0 10:12 ?        00:00:00 [cryptd]
root         398       2  0 10:12 ?        00:00:00 [loop18]
root         420       2  0 10:12 ?        00:00:00 [loop19]
root         428       2  0 10:12 ?        00:00:00 [loop20]
root         446       2  0 10:12 ?        00:00:00 [loop21]
systemd+     680       1  0 10:12 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     681       1  0 10:12 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         720       1  0 10:12 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         721       1  0 10:12 ?        00:00:00 /usr/sbin/acpid
avahi        726       1  1 10:12 ?        00:00:34 avahi-daemon: running [fusion-pc-66.local]
root         728       1  0 10:12 ?        00:00:00 /usr/sbin/cron -f
message+     731       1  0 10:12 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         732       1  0 10:12 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         738       1  0 10:12 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         741       1  0 10:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog       747       1  0 10:12 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         758       1  0 10:12 ?        00:00:02 /usr/lib/snapd/snapd
root         761       1  0 10:12 ?        00:00:00 /usr/libexec/switcheroo-control
root         766       1  0 10:12 ?        00:00:00 /lib/systemd/systemd-logind
root         767       1  0 10:12 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         768       1  0 10:12 ?        00:00:00 /usr/lib/udisks2/udisksd
root         769       1  0 10:12 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        783     726  0 10:12 ?        00:00:00 avahi-daemon: chroot helper
root         819       1  0 10:12 ?        00:00:00 /usr/sbin/cupsd -l
mongodb      828       1  0 10:12 ?        00:00:15 /usr/bin/mongod --unixSocketPrefix=/run/mongodb --config /etc/mongodb.conf
root         851       1  0 10:12 ?        00:00:00 /usr/sbin/cups-browsed
root         867       1  0 10:12 ?        00:00:00 /usr/sbin/gdm3
root         884       1  0 10:12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
postgres     906       1  0 10:12 ?        00:00:00 /usr/lib/postgresql/12/bin/postgres -D /var/lib/postgresql/12/main -c config_file=/etc/postgresql/12/main/postgresql.conf
mysql        919       1  0 10:12 ?        00:00:10 /usr/sbin/mysqld
postgres     923     906  0 10:12 ?        00:00:00 postgres: 12/main: checkpointer   
postgres     924     906  0 10:12 ?        00:00:00 postgres: 12/main: background writer   
postgres     925     906  0 10:12 ?        00:00:00 postgres: 12/main: walwriter   
postgres     926     906  0 10:12 ?        00:00:00 postgres: 12/main: autovacuum launcher   
postgres     927     906  0 10:12 ?        00:00:00 postgres: 12/main: stats collector   
postgres     928     906  0 10:12 ?        00:00:00 postgres: 12/main: logical replication launcher   
rtkit        940       1  0 10:12 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1090       1  0 10:12 ?        00:00:00 /usr/lib/upower/upowerd
whoopsie    1183       1  0 10:12 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1184       1  0 10:12 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1186       1  0 10:12 ?        00:00:00 /usr/sbin/kerneloops
colord      1394       1  0 10:12 ?        00:00:00 /usr/libexec/colord
root        1464     867  0 10:12 ?        00:00:00 gdm-session-worker [pam/gdm-password]
fusion      1473       1  0 10:12 ?        00:00:00 /lib/systemd/systemd --user
fusion      1474    1473  0 10:12 ?        00:00:00 (sd-pam)
